symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
AARTIIND,INE769A01020,2021-01-04,NSE,EQ,EQ,buy,false,2.000000,1278.350000,1724984,1000000005850506,2021-01-04T10:44:34
LALPATHLAB,INE600L01024,2021-01-04,NSE,EQ,EQ,buy,false,1.000000,2420.300000,51169109,1200000004527323,2021-01-04T10:44:34
GODREJPROP,INE484J01027,2021-01-04,NSE,EQ,EQ,buy,false,2.000000,1434.600000,26405716,1100000004402285,2021-01-04T10:44:34
LTTS,INE010V01017,2021-01-04,NSE,EQ,EQ,buy,false,1.000000,2461.150000,51169193,1200000004527530,2021-01-04T10:44:35
MINDTREE,INE018I01017,2021-01-04,NSE,EQ,EQ,buy,false,1.000000,1669.400000,51169157,1200000004527439,2021-01-04T10:44:35
MINDTREE,INE018I01017,2021-01-04,NSE,EQ,EQ,buy,false,1.000000,1667.800000,51212772,1200000004709457,2021-01-04T10:48:41
AARTIIND,INE769A01020,2021-01-05,NSE,EQ,EQ,sell,false,2.000000,1316.700000,2161371,1000000007972406,2021-01-05T11:25:44
MINDTREE,INE018I01017,2021-01-05,NSE,EQ,EQ,sell,false,2.000000,1719.500000,53184371,1200000011345018,2021-01-05T13:55:03
LTTS,INE010V01017,2021-01-05,NSE,EQ,EQ,sell,false,1.000000,2535.000000,53223617,1200000011490119,2021-01-05T13:59:29
GODREJPROP,INE484J01027,2021-01-06,NSE,EQ,EQ,sell,false,2.000000,1450.000000,27380381,1100000007593604,2021-01-06T11:41:57
BANDHANBNK,INE545U01014,2021-01-06,NSE,EQ,EQ,buy,false,5.000000,402.300000,2673685,1000000010301367,2021-01-06T12:29:05
ITC,INE154A01025,2021-01-06,NSE,EQ,EQ,buy,false,5.000000,207.100000,27904950,1100000009206413,2021-01-06T12:29:46
LALPATHLAB,INE600L01024,2021-01-12,NSE,EQ,EQ,sell,false,1.000000,2399.050000,51086820,1200000004302269,2021-01-12T10:19:50
IDFCFIRSTB,INE092T01019,2021-01-20,NSE,EQ,EQ,buy,false,20.000000,50.400000,26424547,1100000000039519,2021-01-20T10:46:56
FRETAIL,INE752P01024,2021-01-21,NSE,EQ,EQ,sell,false,80.000000,80.650000,25024759,1100000000209756,2021-01-21T09:15:06
